Publisher ID,Name,Email
181,East African Educational Publishers,ea@gmail.com
182,Distinction Publishers,da@gmail.com
183,High Flyer Services and Publishers,ha@gmail.com
184,Kenya Literature Bureau (KLB),klb@gmail.com
185,Longhorn Publishers PLC,lg@gmail.com
186,Mentor Publishing Company Ltd,mentor@gmail.com
187,Moran (E.A) Publishers Ltd,moran@gmail.com
188,Mountain Top Publishers Ltd,mountain@gmail.com
189,One Planet Publishing &Media Services Ltd,oneplanet@gmail.com
190,Oxford University Press East Africa,oxford@gmail.com
191,Queenex Publishers Ltd,queenex@gmail.com
192,Spotlight Publishers (EA) Ltd,spotlight@gmail.com
193,Storymoja Publishers,storymoja@gmail.com
194,The Jomo Kenyatta Foundation,jkf@gmail.com
195,LawAfrica Publishing Ltd,info@lawafrica.com
196,Collins Dictionaries,null@null.com
197,Access Publishers,null@null.com
198,Longhorn Publishers,null@null.com
200,Smartz Brains Publications,smartzbrains@gmail.com
201,Top Extension,null@null.com
202,BIBLE SOCIETY OF KENYA,null@null.com
203,Targeter publishers,null@null.com
204,Phoenix publishers,null@null.com
205,Self-Published Authors,null@null.com
206,skyline publishers,null@null.com
207,atfaal publishers,null@null.com
208,BOOKMARK,null@null.com
209,Focus Publishers,fp@gmail.com
210,Pezi publishers,null@null.com
211,signal publishers,null@null.com
212,starshine student center,null@null.com
213,smartboost publisher ltd,null@null.com
214,Intensive Publishers,null@null.com
215,Root Publishers,null@null.com
216,Survey of Kenya,nairobisurvey@ardhi.go.ke
217,Ladybird,null@null.com
218,Top Extension Publisher,null@null.com
219,Booklyst Publisher,null@null.com
220,Made Familiar,null@null.com
